#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   1.46939  0.41246  0.00243      NaN  0.000000  0.000000  0.000000       NaN
   1.48651  0.42957  0.00305      NaN  0.000000  0.000000  0.000000       NaN
   1.50369  0.44674  0.00366      NaN  0.000000  0.000000  0.000000       NaN
   1.52088  0.46392  0.00425      NaN  0.000000  0.000000  0.000000       NaN
   1.53806  0.48109  0.00481      NaN  0.000000  0.000000  0.000000       NaN
   1.55522  0.49824  0.00534      NaN  0.000000  0.000000  0.000000       NaN
   1.57235  0.51537  0.00584      NaN  0.000000  0.000000  0.000000       NaN
   1.58946  0.53247  0.00630      NaN  0.000000  0.000000  0.000000       NaN
   1.60655  0.54956  0.00672      NaN  0.000000  0.000000  0.000000       NaN
   1.62362  0.56662  0.00709      NaN  0.000000  0.000000  0.000000       NaN
   1.64068  0.58367  0.00742      NaN  0.000000  0.000000  0.000000       NaN
   1.65771  0.60070  0.00771      NaN  0.000000  0.000000  0.000000       NaN
   1.67473  0.61772  0.00795      NaN  0.000000  0.000000  0.000000       NaN
   1.69174  0.63473  0.00813      NaN  0.000000  0.000000  0.000000       NaN
   1.70874  0.65173  0.00827      NaN  0.000000  0.000000  0.000000       NaN
   1.72572  0.66871  0.00835      NaN  0.000000  0.000000  0.000000       NaN
   1.74270  0.68569  0.00838      NaN  0.000000  0.000000  0.000000       NaN
   1.75967  0.70266  0.00835      NaN  0.000000  0.000000  0.000000       NaN
   1.77663  0.71962  0.00827      NaN  0.000000  0.000000  0.000000       NaN
   1.79359  0.73658  0.00813      NaN  0.000000  0.000000  0.000000       NaN
   1.81055  0.75353  0.00793      NaN  0.000000  0.000000  0.000000       NaN
   1.82750  0.77049  0.00768      NaN  0.000000  0.000000  0.000000       NaN
   1.84445  0.78744  0.00737      NaN  0.000000  0.000000  0.000000       NaN
   1.86140  0.80438  0.00700      NaN  0.000000  0.000000  0.000000       NaN
   1.87836  0.82133  0.00658      NaN  0.000000  0.000000  0.000000       NaN
   1.89531  0.83828  0.00609      NaN  0.000000  0.000000  0.000000       NaN
   1.91226  0.85522  0.00555      NaN  0.000000  0.000000  0.000000       NaN
   1.92920  0.87215  0.00496      NaN  0.000000  0.000000  0.000000       NaN
   1.94612  0.88905  0.00431      NaN  0.000000  0.000000  0.000000       NaN
   1.96298  0.90590  0.00360      NaN  0.000000  0.000000  0.000000       NaN
   1.97970  0.92261  0.00286      NaN  0.000000  0.000000  0.000000       NaN
   1.99613  0.93901  0.00207      NaN  0.000000  0.000000  0.000000       NaN
   2.01194  0.95481  0.00127      NaN  0.000000  0.000000  0.000000       NaN
   2.02667  0.96952  0.00048      NaN  0.000000  0.000000  0.000000       NaN
   2.03977  0.98259 -0.00025      NaN  0.000000  0.000000  0.000000       NaN
   2.05089  0.99370 -0.00089      NaN  0.000000  0.000000  0.000000       NaN
   2.05721  1.00000 -0.00126      NaN  0.000000  0.000000  0.000000       NaN
   2.05721  1.00010 -0.00002      NaN       NaN       NaN  0.000000       NaN
   2.06351  1.00628 -0.00129      NaN       NaN       NaN  0.000000       NaN
   2.07091  1.01351 -0.00282      NaN       NaN       NaN  0.000000       NaN
   2.07958  1.02198 -0.00470      NaN       NaN       NaN  0.000000       NaN
   2.08975  1.03189 -0.00699      NaN       NaN       NaN  0.000000       NaN
   2.10168  1.04349 -0.00978      NaN       NaN       NaN  0.000000       NaN
   2.11567  1.05706 -0.01318      NaN       NaN       NaN  0.000000       NaN
   2.13208  1.07293 -0.01731      NaN       NaN       NaN  0.000000       NaN
   2.15131  1.09150 -0.02233      NaN       NaN       NaN  0.000000       NaN
   2.17388  1.11322 -0.02844      NaN       NaN       NaN  0.000000       NaN
   2.20034  1.13862 -0.03587      NaN       NaN       NaN  0.000000       NaN
   2.23136  1.16830 -0.04490      NaN       NaN       NaN  0.000000       NaN
   2.26775  1.20299 -0.05590      NaN       NaN       NaN  0.000000       NaN
   2.31043  1.24351 -0.06928      NaN       NaN       NaN  0.000000       NaN
   2.36047  1.29083 -0.08556      NaN       NaN       NaN  0.000000       NaN
   2.41916  1.34608 -0.10536      NaN       NaN       NaN  0.000000       NaN
   2.48799  1.41056 -0.12943      NaN       NaN       NaN  0.000000       NaN
   2.56870  1.48580 -0.15867      NaN       NaN       NaN  0.000000       NaN
   2.66336  1.57355 -0.19414      NaN       NaN       NaN  0.000000       NaN
   2.77436  1.67589 -0.23714      NaN       NaN       NaN  0.000000       NaN
   2.90454  1.79522 -0.28917      NaN       NaN       NaN  0.000000       NaN
   3.05720  1.93433 -0.35206      NaN       NaN       NaN  0.000000       NaN
